sample,random_A,random_B,random_C,random_D
1,5.56545818740465,0.1775001294786435,2.1352334404341757,8.203437554184347
2,5.4523225609034975,0.371108431237663,2.925688695161928,8.530746870674193
3,3.3529652440195945,0.5568242816087107,2.301754206875251,4.1025106818415225
4,3.304391144594327,1.4674434660514155,2.70333928852517,7.072268619667739
5,0.8051985201923575,2.1099514118912737,1.9807232793333442,8.814374152570963
6,6.08086024761738,0.3951772376692346,1.8720593509035912,2.794387098401785
7,6.408681534513515,0.7130695650359465,3.078510860603413,9.35931182000786
8,4.655933379938794,4.688506157417956,3.0193382503767117,1.6994108259677887
9,7.638697020445208,1.3053991783986967,2.4523808248949117,9.247797455172986
10,5.176050180204271,1.3492298287431979,1.9508532162879342,4.691599609795958
11,3.720315766569488,0.7241172012266319,2.7801771234877175,9.900253885425627
12,6.36388877242732,4.201104357990359,2.373485587000294,2.723654890432954
13,6.794559439329133,2.7360826395911024,3.6035499745096677,9.86718520289287
14,4.4426241443879775,0.1791711766045912,2.12847854412671,1.9130524597130716
15,4.815109650068846,1.3484023696023315,2.723179741385908,8.018375111278147
16,7.700064675088175,0.4383552448708096,2.5528477291833416,4.792623706161976
17,7.555993815941478,0.301317777249158,1.9899343847820834,5.41033485904336
18,0.44185309205360923,0.2790436333924745,2.9619797416501794,7.978512025438249
19,1.566537575121826,0.8841062186752617,1.9470753898594542,4.286903906613588
20,5.0874552424893835,8.722816672911469,2.2281281163700823,7.118811167310923
21,8.261547877934511,0.7317744251311992,2.782164219233363,5.260939314030111
22,6.6472739802819625,1.4440320349512568,1.7999688320436633,0.7032919372431934
23,5.477330483586281,3.558856411437149,2.429871386360484,5.125502850860357
24,4.890278662754346,0.103845211536218,2.42786033971705,4.865491099189967
25,6.25140311191824,0.27531210170391057,2.1159875195691407,5.919639447238296
26,5.298125955100144,1.2066958695183743,2.8191239467373315,2.416407235432416
27,6.946762076489461,2.120480799545272,3.0593593017285987,6.630594318266958
28,6.405077459362022,5.957681145284309,2.7229295834251848,7.515800280962139
29,4.778850209250059,4.518914165995505,1.5459204102348183,4.744493525940925
30,5.165647991960191,0.3855201920299156,2.4930119578774192,3.013872297015041
31,3.7812430041492417,1.1089601122062402,2.7531582277557964,3.2823052955791354
32,3.8844467483468774,0.5457684388728478,2.7251779540227905,5.185928794089705
33,6.643017607711118,0.9070110685180479,1.6687379453207725,4.100363650359213
34,8.653060561326425,0.883867506758376,3.3349071747278076,5.329795249272138
35,5.582177700150621,0.35180454873647365,1.1967939917091086,1.1278815474361181
36,5.435941505442691,0.9278637851082121,2.898784872135594,0.17377255950123072
37,4.5716025693740985,5.8132240622201135,2.743345712470052,3.070918715093285
38,5.1140220767560525,0.2388022234440843,2.8396761349500967,9.600638893898576
39,4.159552094360559,14.327790289791725,2.569183310766251,6.937618749216199
40,5.670782558215042,0.27494298434095105,3.3474899698953555,3.157116814982146
41,6.3627517017499144,1.0152163823568168,2.5222217236168123,5.5156885902397335
42,4.242410603437485,0.961096391509126,2.515930389880783,4.5657035848125815
43,4.548493981764042,8.948091976923976,3.7682221510226364,3.05465740384534
44,3.9109460351778003,0.13856197928302486,3.2979908169761982,9.33930536499247
45,3.2298844595074887,1.589891325241815,2.5662567349840253,3.857394552323967
46,5.37961206895567,0.7693477839022371,2.374755950735378,0.3587231645360589
47,4.443933054673927,0.3211925452971948,1.496065472877992,7.8958912077359855
48,5.033269345640246,1.2352822435576538,3.23355525449609,1.6455865441821516
49,5.99006618364465,1.1045388613419895,2.335944016247354,7.574847461655736
50,5.733190453003281,0.04704344924188996,2.102734078741518,3.178736891131848
51,4.716815125197224,0.7067087473869373,7.499016704176818,5.174927928019315
52,5.902039281619202,0.14275489243722567,7.1970429630678066,5.63791542313993
53,3.989359920802338,0.8056735476299033,8.271658703785132,0.22235796321183443
54,5.714075360884351,0.2347588461072733,6.934883415515653,5.284713509026915
55,5.178129841402236,1.412602942089647,6.865509325460513,5.43235199758783
56,5.1818394243458386,1.2070777955292387,7.14250734658892,7.641784546431154
57,4.7209298084924685,0.3237276241459684,8.121999036694106,8.165121050551534
58,3.007593217059433,1.0517446355858833,7.576313303785176,8.292714916169643
59,4.149615573669902,0.5052514303900059,7.7394325781831474,9.575191866606474
60,5.868250899373217,1.9118164613454427,7.893100298474565,7.6780910580419
61,7.8635558471277065,1.8411023335859749,6.992790839999124,3.7193042831495404
62,5.376135564008352,0.5989022197286823,6.670270628753176,3.152864370495081
63,2.602527412236387,2.1263478649443823,7.402024253497545,7.9095640033483505
64,9.802447620700226,1.2069602061710445,7.7802786700355995,6.007082127034664
65,6.432853063196182,0.14539724946996424,7.420111789246706,3.1705037085339427
66,5.5529669240634165,3.441203828075032,6.820666851598531,2.481751050800085
67,6.384378601255254,1.388573989103949,6.748274992656452,0.7185980840586126
68,4.691717981434499,0.4253195589215725,7.451361123120557,6.306253226939589
69,5.139450050820748,0.15021491909062068,7.983630635880847,0.1924002799205482
70,5.252393270349772,2.3319210549587988,7.349322476268556,6.773046711459756
71,6.193758687931633,3.4695507094814833,6.292390997432398,9.672410669736564
72,7.469008410816404,1.266503503775385,6.887122229151394,5.035008618142456
73,2.424613525474628,0.4673421944091796,7.187542151903323,5.168365894351155
74,4.522485341083564,2.1645683330316756,7.012178261492517,2.938547197263688
75,3.6437900420196407,1.9378066750583283,6.306643416737497,1.647283115889877
76,3.944010804998327,0.2031657019068777,8.616794306696585,6.521224763710052
77,2.332850807241136,0.1118779297720184,7.945922259399698,3.3628914691507816
78,3.9166172560625405,0.3082777995376187,7.609591071646275,5.731827071867883
79,5.069231314330748,2.857665771396264,7.077628320348437,3.066874472424388
80,5.365487031031373,0.9943131529463061,6.819330306427083,6.325346941594034
81,5.942496958673424,0.7588035768449072,7.573930692293915,0.919861311558634
82,4.963042126580566,2.3361897549605,6.11167620505897,6.253699364606291
83,8.471229963617718,0.3503107511465111,7.878899256236575,2.256875461898744
84,5.265815385890159,0.17664974705239297,7.092464438793928,3.956078179180622
85,3.463377849879831,11.180141082162638,8.025116006040621,1.5073880227282643
86,8.412021951900638,0.8223067595172777,7.303733795189254,4.427409309428185
87,2.1664150026203854,2.5263787568752156,7.5052767658255055,5.421861477661878
88,6.640927401546007,0.4899442684099536,7.99127133060761,9.360257594380528
89,7.769250540982977,0.2726021930151677,7.941025997049439,7.651875223964453
90,5.781549010280025,2.4212801882222084,6.4347493909420495,4.015022739768028
91,2.7005568385311216,3.3222475299172776,5.944142325317733,1.3422759529203176
92,2.090952546082373,0.3102615037941276,7.191625526795487,3.9780335291288793
93,5.7303748071571325,2.1414258355795845,8.129249443063621,5.894404933787882
94,6.867855035987402,2.3871262535427493,7.386330057625404,8.620601987931877
95,4.674089860497932,0.4832395863265505,7.662134907963253,4.3734396900981665
96,3.8306103282480573,1.871276332688098,7.154444729938749,0.2200627699494362
97,5.523311749561188,0.3357317744695051,7.239243364829966,5.568856515455991
98,6.022586375023797,0.5968469722482609,8.4109917559614,4.868895309045911
99,4.20280791892749,1.0170781557307105,7.0249588829954766,2.5936352112330496
100,3.983909867789937,1.9367100614335455,7.21302471069204,4.169716977048665
